Tanggal,bi_rate
2019-01-17,6.0
2019-02-21,6.0
2019-03-21,6.0
2019-04-25,6.0
2019-05-16,6.0
2019-06-20,6.0
2019-07-18,5.75
2019-08-22,5.5
2019-09-19,5.25
2019-10-24,5.0
2019-11-21,5.0
2019-12-19,5.0
2020-01-23,5.0
2020-02-20,4.75
2020-03-19,4.5
2020-04-14,4.5
2020-05-19,4.5
2020-06-18,4.25
2020-07-16,4.0
2020-08-19,4.0
2020-09-17,4.0
2020-10-13,4.0
2020-11-19,3.75
2020-12-17,3.75
2021-01-21,3.75
2021-02-18,3.5
2021-03-18,3.5
2021-04-20,3.5
2021-05-25,3.5
2021-06-17,3.5
2021-07-22,3.5
2021-08-19,3.5
2021-09-21,3.5
2021-10-19,3.5
2021-11-18,3.5
2021-12-16,3.5
2022-01-20,3.5
2022-02-10,3.5
2022-03-17,3.5
2022-04-19,3.5
2022-05-24,3.5
2022-06-23,3.5
2022-07-21,3.5
2022-08-23,3.75
2022-09-22,4.25
2022-10-20,4.75
2022-11-17,5.25
2022-12-22,5.5
2023-01-19,5.75
2023-02-16,5.75
2023-03-16,5.75
2023-04-18,5.75
2023-05-25,5.75
2023-06-22,5.75
2023-07-25,5.75
2023-08-24,5.75
2023-09-21,5.75
2023-10-19,6.0
2023-11-23,6.0
2023-12-21,6.0
2024-01-17,6.0
2024-02-21,6.0
2024-03-20,6.0
2024-04-24,6.25
2024-05-22,6.25
2024-06-20,6.25
2024-07-17,6.25
2024-08-21,6.25
2024-09-18,6.0
2024-10-16,6.0
2024-11-20,6.0
2024-12-18,6.0
2025-01-15,5.75
2025-02-19,5.75
2025-03-19,5.75
2025-04-23,5.75
2025-05-21,5.5
2025-06-18,5.5
2025-07-16,5.25
2025-08-20,5.0
2025-09-17,4.75
2025-10-22,4.75
2025-11-19,4.75
2025-12-17,4.75
2026-01-21,4.75
2026-02-19,4.75
2026-03-17,4.75
2026-04-22,4.75
2026-05-20,5.25
2026-06-09,5.5
2026-06-18,5.75
