NO;Tanggal;BI-7Day-RR
1;18 Juni 2026;5.75 %
2;9 Juni 2026;5.50 %
3;20 Mei 2026;5.25 %
4;22 April 2026;4.75 %
5;17 Maret 2026;4.75 %
6;19 Februari 2026;4.75 %
7;21 Januari 2026;4.75 %
8;17 Desember 2025;4.75 %
9;19 November 2025;4.75 %
10;22 Oktober 2025;4.75 %
11;17 September 2025;4.75 %
12;20 Agustus 2025;5.00 %
13;16 Juli 2025;5.25 %
14;18 Juni 2025;5.50 %
15;21 Mei 2025;5.50 %
16;23 April 2025;5.75 %
17;19 Maret 2025;5.75 %
18;19 Februari 2025;5.75 %
19;15 Januari 2025;5.75 %
20;18 Desember 2024;6.00 %
21;20 November 2024;6.00 %
22;16 Oktober 2024;6.00 %
23;18 September 2024;6.00 %
24;21 Agustus 2024;6.25 %
25;17 Juli 2024;6.25 %
26;20 Juni 2024;6.25 %
27;22 Mei 2024;6.25 %
28;24 April 2024;6.25 %
29;20 Maret 2024;6.00 %
30;21 Februari 2024;6.00 %
31;17 Januari 2024;6.00 %
32;21 Desember 2023;6.00 %
33;23 November 2023;6.00 %
34;19 Oktober 2023;6.00 %
35;21 September 2023;5.75 %
36;24 Agustus 2023;5.75 %
37;25 Juli 2023;5.75 %
38;22 Juni 2023;5.75 %
39;25 Mei 2023;5.75 %
40;18 April 2023;5.75 %
41;16 Maret 2023;5.75 %
42;16 Februari 2023;5.75 %
43;19 Januari 2023;5.75 %
44;22 Desember 2022;5.50 %
45;17 November 2022;5.25 %
46;20 Oktober 2022;4.75 %
47;22 September 2022;4.25 %
48;23 Agustus 2022;3.75 %
49;21 Juli 2022;3.50 %
50;23 Juni 2022;3.50 %
51;24 Mei 2022;3.50 %
52;19 April 2022;3.50 %
53;17 Maret 2022;3.50 %
54;10 Februari 2022;3.50 %
55;20 Januari 2022;3.50 %
56;16 Desember 2021;3.50 %
57;18 November 2021;3.50 %
58;19 Oktober 2021;3.50 %
59;21 September 2021;3.50 %
60;19 Agustus 2021;3.50 %
61;22 Juli 2021;3.50 %
62;17 Juni 2021;3.50 %
63;25 Mei 2021;3.50 %
64;20 April 2021;3.50 %
65;18 Maret 2021;3.50 %
66;18 Februari 2021;3.50 %
67;21 Januari 2021;3.75 %
68;17 Desember 2020;3.75 %
69;19 November 2020;3.75 %
70;13 Oktober 2020;4.00 %
71;17 September 2020;4.00 %
72;19 Agustus 2020;4.00 %
73;16 Juli 2020;4.00 %
74;18 Juni 2020;4.25 %
75;19 Mei 2020;4.50 %
76;14 April 2020;4.50 %
77;19 Maret 2020;4.50 %
78;20 Februari 2020;4.75 %
79;23 Januari 2020;5.00 %
80;19 Desember 2019;5.00 %
81;21 November 2019;5.00 %
82;24 Oktober 2019;5.00 %
83;19 September 2019;5.25 %
84;22 Agustus 2019;5.50 %
85;18 Juli 2019;5.75 %
86;20 Juni 2019;6.00 %
87;16 Mei 2019;6.00 %
88;25 April 2019;6.00 %
89;21 Maret 2019;6.00 %
90;21 Februari 2019;6.00 %
91;17 Januari 2019;6.00 %
