tanggal_rilis,inflasi
2019-02-05,2.82
2019-03-05,2.57
2019-04-05,2.48
2019-05-05,2.83
2019-06-05,3.32
2019-07-05,3.28
2019-08-05,3.32
2019-09-05,3.49
2019-10-05,3.39
2019-11-05,3.13
2019-12-05,3.0
2020-01-05,2.72
2020-02-05,2.68
2020-03-05,2.98
2020-04-05,2.96
2020-05-05,2.67
2020-06-05,2.19
2020-07-05,1.96
2020-08-05,1.54
2020-09-05,1.32
2020-10-05,1.42
2020-11-05,1.44
2020-12-05,1.59
2021-01-05,1.68
2021-02-05,1.55
2021-03-05,1.38
2021-04-05,1.37
2021-05-05,1.42
2021-06-05,1.68
2021-07-05,1.33
2021-08-05,1.52
2021-09-05,1.59
2021-10-05,1.6
2021-11-05,1.66
2021-12-05,1.75
2022-01-05,1.87
2022-02-05,2.18
2022-03-05,2.06
2022-04-05,2.64
2022-05-05,3.47
2022-06-05,3.55
2022-07-05,4.35
2022-08-05,4.94
2022-09-05,4.69
2022-10-05,5.95
2022-11-05,5.71
2022-12-05,5.42
2023-01-05,5.51
2023-02-05,5.28
2023-03-05,5.47
2023-04-05,4.97
2023-05-05,4.33
2023-06-05,4.0
2023-07-05,3.52
2023-08-05,3.08
2023-09-05,3.27
2023-10-05,2.28
2023-11-05,2.56
2023-12-05,2.86
2024-01-05,2.61
2024-02-05,2.57
2024-03-05,2.75
2024-04-05,3.05
2024-05-05,3.0
2024-06-05,2.84
2024-07-05,2.51
2024-08-05,2.13
2024-09-05,2.12
2024-10-05,1.84
2024-11-05,1.71
2024-12-05,1.55
2025-01-05,1.57
2025-02-05,0.76
2025-03-05,-0.09
2025-04-05,1.03
2025-05-05,1.95
2025-06-05,1.6
2025-07-05,1.87
2025-08-05,2.37
2025-09-05,2.31
2025-10-05,2.65
2025-11-05,2.86
2025-12-05,2.72
2026-01-05,2.92
2026-02-05,3.55
2026-03-05,4.76
2026-04-05,3.48
2026-05-05,2.42
2026-06-05,3.08
