No;Periode;Data Inflasi
1;Juni 2026;3.34 %
2;Mei 2026;3.08 %
3;April 2026;2.42 %
4;Maret 2026;3.48 %
5;Februari 2026;4.76 %
6;Januari 2026;3.55 %
7;Desember 2025;2.92 %
8;November 2025;2.72 %
9;Oktober 2025;2.86 %
10;September 2025;2.65 %
11;Agustus 2025;2.31 %
12;Juli 2025;2.37 %
13;Juni 2025;1.87 %
14;Mei 2025;1.6 %
15;April 2025;1.95 %
16;Maret 2025;1.03 %
17;Februari 2025;-0.09 %
18;Januari 2025;0.76 %
19;Desember 2024;1.57 %
20;November 2024;1.55 %
21;Oktober 2024;1.71 %
22;September 2024;1.84 %
23;Agustus 2024;2.12 %
24;Juli 2024;2.13 %
25;Juni 2024;2.51 %
26;Mei 2024;2.84 %
27;April 2024;3 %
28;Maret 2024;3.05 %
29;Februari 2024;2.75 %
30;Januari 2024;2.57 %
31;Desember 2023;2.61 %
32;November 2023;2.86 %
33;Oktober 2023;2.56 %
34;September 2023;2.28 %
35;Agustus 2023;3.27 %
36;Juli 2023;3.08 %
37;Juni 2023;3.52 %
38;Mei 2023;4 %
39;April 2023;4.33 %
40;Maret 2023;4.97 %
41;Februari 2023;5.47 %
42;Januari 2023;5.28 %
43;Desember 2022;5.51 %
44;November 2022;5.42 %
45;Oktober 2022;5.71 %
46;September 2022;5.95 %
47;Agustus 2022;4.69 %
48;Juli 2022;4.94 %
49;Juni 2022;4.35 %
50;Mei 2022;3.55 %
51;April 2022;3.47 %
52;Maret 2022;2.64 %
53;Februari 2022;2.06 %
54;Januari 2022;2.18 %
55;Desember 2021;1.87 %
56;November 2021;1.75 %
57;Oktober 2021;1.66 %
58;September 2021;1.6 %
59;Agustus 2021;1.59 %
60;Juli 2021;1.52 %
61;Juni 2021;1.33 %
62;Mei 2021;1.68 %
63;April 2021;1.42 %
64;Maret 2021;1.37 %
65;Februari 2021;1.38 %
66;Januari 2021;1.55 %
67;Desember 2020;1.68 %
68;November 2020;1.59 %
69;Oktober 2020;1.44 %
70;September 2020;1.42 %
71;Agustus 2020;1.32 %
72;Juli 2020;1.54 %
73;Juni 2020;1.96 %
74;Mei 2020;2.19 %
75;April 2020;2.67 %
76;Maret 2020;2.96 %
77;Februari 2020;2.98 %
78;Januari 2020;2.68 %
79;Desember 2019;2.72 %
80;November 2019;3 %
81;Oktober 2019;3.13 %
82;September 2019;3.39 %
83;Agustus 2019;3.49 %
84;Juli 2019;3.32 %
85;Juni 2019;3.28 %
86;Mei 2019;3.32 %
87;April 2019;2.83 %
88;Maret 2019;2.48 %
89;Februari 2019;2.57 %
90;Januari 2019;2.82 %
