PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2020,,,,,2020,,,,,2020,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",0.03,1.18,1.53,1.77,1.77,9.45,16.23,1.01,-20.13,1.77,0.03,2.2,2.18,2.64,1.77
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",-1.17,0.98,1.73,2.14,2.14,13.42,22.15,0.87,-25.79,2.14,-1.17,2.81,3.1,3.71,2.14
a. Tanaman Pangan,-10.25,-0.01,2.3,3.61,3.61,57.4,34.74,-12.89,-40.06,3.61,-10.25,9.24,7.24,10.73,3.61
b. Tanaman Hortikultura,2.61,1.69,3.13,4.17,4.17,4.71,21.78,4.66,-19.18,4.17,2.61,0.94,5.74,7.85,4.17
c. Tanaman Perkebunan,3.97,1.84,1.4,1.34,1.34,-1.22,23.46,10.97,-25.26,1.34,3.97,0.18,0.68,1.14,1.34
d. Peternakan,2.72,0.38,0.18,-0.31,-0.31,3.66,-0.44,2.2,-6.94,-0.31,2.72,-1.87,-0.2,-1.85,-0.31
e. Jasa Pertanian dan Perburuan,-1.41,0.54,1.21,1.65,1.65,13.44,11.25,2.35,-20.08,1.65,-1.41,2.37,2.48,3.24,1.65
2. Kehutanan dan Penebangan Kayu,5.32,3.7,1.79,-0.03,-0.03,-5.55,8.34,1.8,-9.2,-0.03,5.32,2.24,-1.62,-5.41,-0.03
3. Perikanan,3.52,1.45,0.61,0.73,0.73,-0.03,-4.26,1.5,4.03,0.73,3.52,-0.63,-1.03,1.06,0.73
B. Pertambangan dan Penggalian,0.45,-1.13,-2.2,-1.95,-1.95,-0.73,-3.75,1.72,1.65,-1.95,0.45,-2.72,-4.28,-1.2,-1.95
"1. Pertambangan Minyak, Gas dan Panas Bumi",-2.99,-5.03,-5.73,-6,-6,-2.53,-4.54,-0.17,0.32,-6,-2.99,-7.07,-7.14,-6.81,-6
2. Pertambangan Batubara dan Lignit,0.13,-4.04,-5.28,-5.43,-5.43,0.32,-10.75,3.05,2.01,-5.43,0.13,-8.32,-7.75,-5.87,-5.43
3. Pertambangan Bijih Logam,9.18,20.48,16.3,20.26,20.26,11.49,20.33,-1.89,1.12,20.26,9.18,31.82,9.23,33.09,20.26
4. Pertambangan dan Penggalian Lainnya,2.56,-0.8,-1.22,-1.22,-1.22,-5.11,-4.77,5.52,3.6,-1.22,2.56,-4.1,-2.04,-1.21,-1.22
C. Industri Pengolahan,2.06,-2.09,-2.86,-2.93,-2.93,-1.18,-6.49,5.22,-0.38,-2.93,2.06,-6.18,-4.34,-3.14,-2.93
1. Industri Batubara dan Pengilangan Migas,2.58,-3.93,-5.1,-6.81,-6.81,1.28,-9.1,0.65,-4.99,-6.81,2.58,-10.2,-7.44,-11.96,-6.81
Industri Pengolahan Non Migas,2.01,-1.9,-2.63,-2.52,-2.52,-1.44,-6.21,5.69,0.07,-2.52,2.01,-5.74,-4.02,-2.22,-2.52
1. Industri Makanan dan Minuman,3.94,2.03,1.55,1.58,1.58,-0.7,1.87,4.23,-3.59,1.58,3.94,0.22,0.66,1.66,1.58
2. Industri Pengolahan Tembakau,3.49,-3.51,-4.06,-5.78,-5.78,3.56,-17.59,4.25,0.31,-5.78,3.49,-10.84,-5.19,-10.77,-5.78
3. Industri Tekstil dan Pakaian Jadi,-1.24,-7.9,-8.37,-8.88,-8.88,0.48,-8.72,2.97,-5.23,-8.88,-1.24,-14.23,-9.32,-10.49,-8.88
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",-0.36,-4.45,-9.66,-8.76,-8.76,-1.2,-8.26,-9.43,14.41,-8.76,-0.36,-8.55,-19.75,-6.07,-8.76
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",3.17,0.97,-1.42,-2.16,-2.16,-0.51,-4.39,0.98,-0.43,-2.16,3.17,-1.23,-5.92,-4.36,-2.16
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,4.5,2.76,1.31,0.22,0.22,-2.6,1.2,0.89,-2.44,0.22,4.5,1.1,-1.42,-2.98,0.22
"7. Industri Kimia, Farmasi dan Obat Tradisional",5.59,7.12,9.73,9.39,9.39,-2.5,2.87,5.69,2.31,9.39,5.59,8.65,14.96,8.45,9.39
"8. Industri Karet, Barang dari Karet dan Plastik",-0.82,-6.39,-7.49,-5.61,-5.61,1.43,-11.74,7.52,4.13,-5.61,-0.82,-11.98,-9.61,0.24,-5.61
9. Industri Barang Galian bukan Logam,-5.3,-7.17,-7.85,-9.13,-9.13,-16.37,-8.84,11.37,3.02,-9.13,-5.3,-9.13,-9.11,-12.52,-9.13
10. Industri Logam Dasar,3.98,3.39,4.01,5.87,5.87,6.31,-7.85,10.73,2.75,5.87,3.98,2.76,5.19,11.46,5.87
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",-3.52,-6.4,-6.56,-5.46,-5.46,-3.56,-6.29,8.11,0.2,-5.46,-3.52,-9.29,-6.86,-2.11,-5.46
12. Industri Mesin dan Perlengkapan,-9.33,-11.29,-11.12,-10.17,-10.17,-5.22,-12.22,0.21,11.11,-10.17,-9.33,-13.42,-10.76,-7.38,-10.17
13. Industri Alat Angkutan,4.64,-14.77,-20.17,-19.86,-19.86,-2.41,-37.54,17.48,13.14,-19.86,4.64,-34.29,-29.98,-18.98,-19.86
14. Industri Furnitur,-7.28,-5,-3.91,-3.36,-3.36,-3.6,-1.34,2.06,1.24,-3.36,-7.28,-2.57,-1.69,-1.72,-3.36
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,-4.73,-4.96,-2.9,-0.88,-0.88,0.49,-0.54,8.88,-3.01,-0.88,-4.73,-5.19,1.15,5.54,-0.88
D. Pengadaan Listrik dan Gas,3.85,-0.83,-1.39,-2.34,-2.34,-5.66,-7.89,8.3,0.94,-2.34,3.85,-5.46,-2.44,-5.01,-2.34
1. Ketenagalistrikan,4.17,0.24,0.1,-0.98,-0.98,-4.93,-6.41,7.54,0.32,-0.98,4.17,-3.63,-0.18,-4.01,-0.98
2. Pengadaan Gas dan Produksi Es,1.55,-8.7,-11.9,-11.94,-11.94,-10.84,-18.97,14.85,5.98,-11.94,1.55,-18.82,-17.52,-12.05,-11.94
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.38,4.41,4.92,4.94,4.94,-1.04,1.36,1.5,3.11,4.94,4.38,4.44,5.94,4.98,4.94
F. Konstruksi,2.9,-1.26,-2.39,-3.26,-3.26,-6.92,-7.37,5.72,3.48,-3.26,2.9,-5.39,-4.52,-5.67,-3.26
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1.5,-3.15,-3.83,-3.79,-3.79,-1.43,-6.74,5.66,-0.83,-3.79,1.5,-7.68,-5.14,-3.66,-3.79
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",1.07,-14.34,-15.61,-14.11,-14.11,-3.01,-30.53,21.71,10.09,-14.11,1.07,-29.75,-18.05,-9.73,-14.11
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1.6,-0.56,-1.1,-1.38,-1.38,-1.05,-1.18,3.03,-2.94,-1.38,1.6,-2.65,-2.14,-2.22,-1.38
H. Transportasi dan Pergudangan,1.27,-15.05,-15.62,-15.05,-15.05,-6.41,-29.16,24.28,5.08,-15.05,1.27,-30.79,-16.71,-13.42,-15.05
1. Angkutan Rel,-6.95,-36.03,-41.22,-42.34,-42.34,-14.21,-59.11,37.97,12.48,-42.34,-6.95,-63.75,-51.11,-45.56,-42.34
2. Angkutan Darat,5.15,-6.46,-5.97,-5.34,-5.34,-0.67,-18.76,17.09,2.13,-5.34,5.15,-17.65,-5.03,-3.5,-5.34
3. Angkutan Laut,5.84,-5.97,-5.74,-4.57,-4.57,-4.26,-17.29,19.34,4.51,-4.57,5.84,-17.14,-5.32,-1.24,-4.57
4. Angkutan Sungai Danau dan Penyeberangan,1.16,-13.11,-13.24,-13,-13,-4.16,-23.67,17.45,2.08,-13,1.16,-26.66,-13.51,-12.28,-13
5. Angkutan Udara,-13.35,-46.79,-52.78,-53.06,-53.06,-23.19,-77.23,97.06,34.02,-53.06,-13.35,-80.26,-63.9,-53.81,-53.06
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,-0.64,-20.07,-19.19,-17.61,-17.61,-10.86,-34.71,41.31,5.64,-17.61,-0.64,-38.49,-17.57,-13.12,-17.61
I. Penyediaan Akomodasi dan Makan Minum,1.92,-10.14,-10.72,-10.26,-10.26,-3.53,-22.29,14.76,5.87,-10.26,1.92,-22.01,-11.86,-8.91,-10.26
1. Penyediaan Akomodasi,-4.57,-24.29,-25.56,-24.49,-24.49,-7.62,-42.18,31.81,11.66,-24.49,-4.57,-44.22,-28.06,-21.38,-24.49
2. Penyediaan Makan Minum,3.49,-6.77,-7.2,-6.88,-6.88,-2.56,-17.85,12.08,4.8,-6.88,3.49,-16.81,-8.04,-5.98,-6.88
J. Informasi dan Komunikasi,9.82,10.34,10.47,10.61,10.61,2.92,3.39,3.22,1.06,10.61,9.82,10.85,10.72,10.99,10.61
K. Jasa Keuangan dan Asuransi,10.63,5.89,3.55,3.25,3.25,5.34,-10.3,2.59,5.61,3.25,10.63,1.06,-0.95,2.37,3.25
1. Jasa Perantara Keuangan,13.67,6.48,3.31,3.98,3.98,10.68,-15.93,5.14,8.27,3.98,13.67,-0.96,-2.72,5.92,3.98
2. Asuransi dan Dana Pensiun,5.04,6.17,5.89,4.03,4.03,-4.35,2.12,-1.86,3.21,4.03,5.04,7.29,5.35,-1.07,4.03
3. Jasa Keuangan Lainnya,7.8,3.78,1.46,-0.57,-0.57,-0.08,-5.32,-0.14,-0.86,-0.57,7.8,-0.17,-3.01,-6.34,-0.57
4. Jasa Penunjang Keuangan,1.19,1.26,1.35,1.86,1.86,-0.24,0.1,1.73,1.75,1.86,1.19,1.32,1.53,3.37,1.86
L. Real Estate,3.81,3.06,2.69,2.32,2.32,0.49,-0.26,0.94,0.07,2.32,3.81,2.31,1.96,1.25,2.32
"M,N. Jasa Perusahaan",5.39,-3.48,-4.89,-5.44,-5.44,-2.28,-14.11,7.92,2.66,-5.44,5.39,-12.09,-7.61,-7.02,-5.44
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",3.16,-0.08,0.54,-0.03,-0.03,-8.56,-2.57,1.42,8.94,-0.03,3.16,-3.21,1.82,-1.56,-0.03
P. Jasa Pendidikan,5.86,3.48,3.1,2.61,2.61,-10.42,-0.66,5.61,7.82,2.61,5.86,1.18,2.39,1.33,2.61
Q. Jasa Kesehatan dan Kegiatan Sosial,10.33,6.97,9.79,11.56,11.56,1.08,-4.14,13.68,5.79,11.56,10.33,3.67,15.26,16.53,11.56
"R,S,T,U. Jasa lainnya",7.09,-2.95,-3.84,-4.1,-4.1,-1.2,-15.12,10.93,2.29,-4.1,7.09,-12.6,-5.55,-4.84,-4.1
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,2.94,-0.95,-1.51,-1.59,-1.59,-1.02,-4.45,5.06,-1.2,-1.59,2.94,-4.72,-2.59,-1.83,-1.59
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,3.64,-9.47,-14.71,-13.13,-13.13,-30.99,3.43,4.57,21.7,-13.13,3.64,-19.34,-23.08,-9.16,-13.13
C. PRODUK DOMESTIK BRUTO,2.97,-1.26,-2.03,-2.07,-2.07,-2.41,-4.19,5.05,-0.4,-2.07,2.97,-5.32,-3.49,-2.17,-2.07
