variabel,adf_stat,p_value,status
usdidr_lag1,-15.666603063666823,1.5307858186362136e-28,Stasioner
sp500_lag1,-21.900496807640394,0.0,Stasioner
oil_wti_lag1,-27.479957131989554,0.0,Stasioner
dxy_lag1,-17.91964582577223,2.9093358688776118e-30,Stasioner
vix_lag1,-4.753591289983066,6.66649059885598e-05,Stasioner
ust10y_lag1,-16.84381891002503,1.1326163891980423e-29,Stasioner
fed_funds_rate_lag1,-40.34517483347769,0.0,Stasioner
epu_lag1,-9.82048150036267,5.354661147663079e-17,Stasioner
indonia_lag1,-4.897201229890073,3.5314472985362974e-05,Stasioner
bi_rate_lag1,-3.894530764320708,0.0020754684025364838,Stasioner
inflasi_lag1,-40.484646513357255,0.0,Stasioner
pdb_lag1,-40.48461444444459,0.0,Stasioner
return_ihsg,-14.766344750385159,2.3593854957216118e-27,Stasioner
return_ihsg_lag1,-14.777106270030213,2.2752454160245892e-27,Stasioner
return_ihsg_lag2,-14.835757355662528,1.8695143790671263e-27,Stasioner
return_ihsg_lag3,-14.819377718075565,1.9744200668599838e-27,Stasioner
vol_roll5_lag1,-5.067261174698859,1.6307217859739314e-05,Stasioner
vol_roll20_lag1,-3.3808743085198723,0.011628402916023293,Stasioner
